,id,speaker_id,utterance_order,transcript_id,corpus_id,gloss,num_tokens,stem,part_of_speech,speaker_code,speaker_name,speaker_role,target_child_id,target_child_age,target_child_name,target_child_sex,type,media_end,media_start,media_unit,collection_id,collection_name,num_morphemes,language,corpus_name,Rating.Mean,Conc.M,SUBTLEX
5365,9714151,14790,1710,25305,198,think,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,4.75,2.41,137261.0
5366,9714151,14790,1710,25305,198,the,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,3.98,1.43,1501908.0
5367,9714151,14790,1710,25305,198,garag,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,,,
5368,9714151,14790,1710,25305,198,is,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,,1.59,459663.0
5369,9714151,14790,1710,25305,198,go,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,3.37,3.15,193445.0
5370,9714151,14790,1710,25305,198,to,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,3.95,1.55,1156570.0
5371,9714151,14790,1710,25305,198,be,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,5.11,1.85,293085.0
5372,9714151,14790,1710,25305,198,veri,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,,,
5373,9714151,14790,1710,25305,198,happi,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,,,
5374,9714151,14790,1710,25305,198,is,13,I do think the garage be go to be very happy be it,pro:sub mod v det:art n aux part inf cop adv adj aux pro:per,INV,Jeannine,Investigator,14768.0,42.033717324791105,Thomas,male,question,2834.23,2831.815,s,13,Eng-UK,17.0,eng,Thomas,,1.59,459663.0
